I, [2018-04-02T18:31:31.547523 #7757]  INFO -- default-Windows-12: -----> Creating <default-Windows-12>...
E, [2018-04-02T18:31:34.572374 #7757] ERROR -- default-Windows-12: Create failed on instance <default-Windows-12>.
E, [2018-04-02T18:31:34.572824 #7757] ERROR -- default-Windows-12: ------Exception-------
E, [2018-04-02T18:31:34.573026 #7757] ERROR -- default-Windows-12: Class: Aws::Errors::MissingCredentialsError
E, [2018-04-02T18:31:34.573194 #7757] ERROR -- default-Windows-12: Message: unable to sign request without credentials set
E, [2018-04-02T18:31:34.573349 #7757] ERROR -- default-Windows-12: ----------------------
E, [2018-04-02T18:31:34.573534 #7757] ERROR -- default-Windows-12: ------Backtrace-------
E, [2018-04-02T18:31:34.573697 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/request_signer.rb:104:in `require_credentials'
E, [2018-04-02T18:31:34.573820 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/request_signer.rb:94:in `sign_authenticated_requests'
E, [2018-04-02T18:31:34.573917 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/request_signer.rb:87:in `call'
E, [2018-04-02T18:31:34.574086 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/helpful_socket_errors.rb:10:in `call'
E, [2018-04-02T18:31:34.574198 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/retry_errors.rb:89:in `call'
E, [2018-04-02T18:31:34.574296 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/query/handler.rb:27:in `call'
E, [2018-04-02T18:31:34.574404 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/user_agent.rb:12:in `call'
E, [2018-04-02T18:31:34.574597 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/plugins/endpoint.rb:41:in `call'
E, [2018-04-02T18:31:34.574780 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/param_validator.rb:21:in `call'
E, [2018-04-02T18:31:34.574889 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/plugins/raise_response_errors.rb:14:in `call'
E, [2018-04-02T18:31:34.574999 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/jsonvalue_converter.rb:20:in `call'
E, [2018-04-02T18:31:34.575232 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/idempotency_token.rb:18:in `call'
E, [2018-04-02T18:31:34.575313 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/param_converter.rb:20:in `call'
E, [2018-04-02T18:31:34.575388 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/response_paging.rb:26:in `call'
E, [2018-04-02T18:31:34.575463 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/plugins/response_target.rb:21:in `call'
E, [2018-04-02T18:31:34.575595 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/request.rb:70:in `send_request'
E, [2018-04-02T18:31:34.575675 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/base.rb:207:in `block (2 levels) in define_operation_methods'
E, [2018-04-02T18:31:34.575749 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/request.rb:24:in `call'
E, [2018-04-02T18:31:34.575835 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/operations.rb:41:in `call'
E, [2018-04-02T18:31:34.575911 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/operations.rb:61:in `call'
E, [2018-04-02T18:31:34.575993 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/resource.rb:147:in `load'
E, [2018-04-02T18:31:34.576119 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/resource.rb:120:in `data'
E, [2018-04-02T18:31:34.576203 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/resource.rb:223:in `block in add_data_attribute'
E, [2018-04-02T18:31:34.576278 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:687:in `show_chosen_image'
E, [2018-04-02T18:31:34.576354 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:328:in `image'
E, [2018-04-02T18:31:34.576429 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:354:in `actual_platform'
E, [2018-04-02T18:31:34.576540 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:384:in `update_username'
E, [2018-04-02T18:31:34.576625 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:204:in `create'
E, [2018-04-02T18:31:34.576701 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:469:in `public_send'
E, [2018-04-02T18:31:34.576789 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:469:in `block in perform_action'
E, [2018-04-02T18:31:34.576867 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:536:in `synchronize_or_call'
E, [2018-04-02T18:31:34.576944 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:498:in `block in action'
E, [2018-04-02T18:31:34.577055 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-04-02T18:31:34.577149 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:497:in `action'
E, [2018-04-02T18:31:34.577265 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:469:in `perform_action'
E, [2018-04-02T18:31:34.577349 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:379:in `create_action'
E, [2018-04-02T18:31:34.577447 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:368:in `block in transition_to'
E, [2018-04-02T18:31:34.577541 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:367:in `each'
E, [2018-04-02T18:31:34.577645 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:367:in `transition_to'
E, [2018-04-02T18:31:34.577748 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:124:in `create'
E, [2018-04-02T18:31:34.577827 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:197:in `public_send'
E, [2018-04-02T18:31:34.577916 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:197:in `run_action_in_thread'
E, [2018-04-02T18:31:34.577995 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:169:in `block (2 levels) in run_action'
E, [2018-04-02T18:31:34.578071 #7757] ERROR -- default-Windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/logging-2.2.2/lib/logging/diagnostic_context.rb:474:in `block in create_with_logging_context'
E, [2018-04-02T18:31:34.578146 #7757] ERROR -- default-Windows-12: ----End Backtrace-----
