I, [2018-04-02T18:23:51.668565 #7696]  INFO -- default-windows-12: -----> Creating <default-windows-12>...
E, [2018-04-02T18:23:54.693556 #7696] ERROR -- default-windows-12: Create failed on instance <default-windows-12>.
E, [2018-04-02T18:23:54.694231 #7696] ERROR -- default-windows-12: ------Exception-------
E, [2018-04-02T18:23:54.694536 #7696] ERROR -- default-windows-12: Class: Aws::Errors::MissingCredentialsError
E, [2018-04-02T18:23:54.694731 #7696] ERROR -- default-windows-12: Message: unable to sign request without credentials set
E, [2018-04-02T18:23:54.694872 #7696] ERROR -- default-windows-12: ----------------------
E, [2018-04-02T18:23:54.694997 #7696] ERROR -- default-windows-12: ------Backtrace-------
E, [2018-04-02T18:23:54.695222 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/request_signer.rb:104:in `require_credentials'
E, [2018-04-02T18:23:54.695382 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/request_signer.rb:94:in `sign_authenticated_requests'
E, [2018-04-02T18:23:54.695510 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/request_signer.rb:87:in `call'
E, [2018-04-02T18:23:54.695754 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/helpful_socket_errors.rb:10:in `call'
E, [2018-04-02T18:23:54.695952 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/retry_errors.rb:89:in `call'
E, [2018-04-02T18:23:54.696087 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/query/handler.rb:27:in `call'
E, [2018-04-02T18:23:54.696273 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/user_agent.rb:12:in `call'
E, [2018-04-02T18:23:54.696406 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/plugins/endpoint.rb:41:in `call'
E, [2018-04-02T18:23:54.696531 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/param_validator.rb:21:in `call'
E, [2018-04-02T18:23:54.696709 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/plugins/raise_response_errors.rb:14:in `call'
E, [2018-04-02T18:23:54.696850 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/jsonvalue_converter.rb:20:in `call'
E, [2018-04-02T18:23:54.696975 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/idempotency_token.rb:18:in `call'
E, [2018-04-02T18:23:54.697112 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/param_converter.rb:20:in `call'
E, [2018-04-02T18:23:54.697302 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/response_paging.rb:26:in `call'
E, [2018-04-02T18:23:54.697435 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/plugins/response_target.rb:21:in `call'
E, [2018-04-02T18:23:54.697561 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/request.rb:70:in `send_request'
E, [2018-04-02T18:23:54.697738 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/base.rb:207:in `block (2 levels) in define_operation_methods'
E, [2018-04-02T18:23:54.697878 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/request.rb:24:in `call'
E, [2018-04-02T18:23:54.698023 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/operations.rb:139:in `all_batches'
E, [2018-04-02T18:23:54.698208 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/collection.rb:18:in `each'
E, [2018-04-02T18:23:54.698351 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/collection.rb:18:in `each'
E, [2018-04-02T18:23:54.698480 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/aws/standard_platform.rb:210:in `sort_by'
E, [2018-04-02T18:23:54.698626 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/aws/standard_platform.rb:210:in `sort_images'
E, [2018-04-02T18:23:54.698818 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/aws/standard_platform.rb:101:in `find_image'
E, [2018-04-02T18:23:54.698946 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:373:in `default_ami'
E, [2018-04-02T18:23:54.699071 #7696] ERROR -- default-windows-12: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:82:in `block in <class:Ec2>'
