I, [2018-04-02T18:05:11.439447 #7254]  INFO -- default-windows-2012R2: -----> Creating <default-windows-2012R2>...
E, [2018-04-02T18:05:14.467936 #7254] ERROR -- default-windows-2012R2: Create failed on instance <default-windows-2012R2>.
E, [2018-04-02T18:05:14.469180 #7254] ERROR -- default-windows-2012R2: ------Exception-------
E, [2018-04-02T18:05:14.469379 #7254] ERROR -- default-windows-2012R2: Class: Aws::Errors::MissingCredentialsError
E, [2018-04-02T18:05:14.469544 #7254] ERROR -- default-windows-2012R2: Message: unable to sign request without credentials set
E, [2018-04-02T18:05:14.469703 #7254] ERROR -- default-windows-2012R2: ----------------------
E, [2018-04-02T18:05:14.469960 #7254] ERROR -- default-windows-2012R2: ------Backtrace-------
E, [2018-04-02T18:05:14.470126 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/request_signer.rb:104:in `require_credentials'
E, [2018-04-02T18:05:14.470286 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/request_signer.rb:94:in `sign_authenticated_requests'
E, [2018-04-02T18:05:14.470515 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/request_signer.rb:87:in `call'
E, [2018-04-02T18:05:14.470689 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/helpful_socket_errors.rb:10:in `call'
E, [2018-04-02T18:05:14.470920 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/retry_errors.rb:89:in `call'
E, [2018-04-02T18:05:14.471124 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/query/handler.rb:27:in `call'
E, [2018-04-02T18:05:14.471890 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/user_agent.rb:12:in `call'
E, [2018-04-02T18:05:14.472067 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/plugins/endpoint.rb:41:in `call'
E, [2018-04-02T18:05:14.472225 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/param_validator.rb:21:in `call'
E, [2018-04-02T18:05:14.472399 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/plugins/raise_response_errors.rb:14:in `call'
E, [2018-04-02T18:05:14.472625 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/jsonvalue_converter.rb:20:in `call'
E, [2018-04-02T18:05:14.472862 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/idempotency_token.rb:18:in `call'
E, [2018-04-02T18:05:14.473031 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/param_converter.rb:20:in `call'
E, [2018-04-02T18:05:14.473187 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/response_paging.rb:26:in `call'
E, [2018-04-02T18:05:14.473437 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/plugins/response_target.rb:21:in `call'
E, [2018-04-02T18:05:14.473615 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/request.rb:70:in `send_request'
E, [2018-04-02T18:05:14.473853 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/base.rb:207:in `block (2 levels) in define_operation_methods'
E, [2018-04-02T18:05:14.473982 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/request.rb:24:in `call'
E, [2018-04-02T18:05:14.474092 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/operations.rb:41:in `call'
E, [2018-04-02T18:05:14.474212 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/operations.rb:61:in `call'
E, [2018-04-02T18:05:14.474321 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/resource.rb:147:in `load'
E, [2018-04-02T18:05:14.474430 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/resource.rb:120:in `data'
E, [2018-04-02T18:05:14.474539 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/resource.rb:223:in `block in add_data_attribute'
E, [2018-04-02T18:05:14.474647 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:687:in `show_chosen_image'
E, [2018-04-02T18:05:14.474811 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:328:in `image'
E, [2018-04-02T18:05:14.474921 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:354:in `actual_platform'
E, [2018-04-02T18:05:14.475028 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:384:in `update_username'
E, [2018-04-02T18:05:14.475136 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:204:in `create'
E, [2018-04-02T18:05:14.475319 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:469:in `public_send'
E, [2018-04-02T18:05:14.475437 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:469:in `block in perform_action'
E, [2018-04-02T18:05:14.475670 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:536:in `synchronize_or_call'
E, [2018-04-02T18:05:14.475805 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:498:in `block in action'
E, [2018-04-02T18:05:14.475915 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-04-02T18:05:14.476200 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:497:in `action'
E, [2018-04-02T18:05:14.476346 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:469:in `perform_action'
E, [2018-04-02T18:05:14.476456 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:379:in `create_action'
E, [2018-04-02T18:05:14.476564 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:368:in `block in transition_to'
E, [2018-04-02T18:05:14.476722 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:367:in `each'
E, [2018-04-02T18:05:14.476853 #7254] ERROR -- default-windows-2012R2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:367:in `transition_to'
