I, [2018-04-02T17:45:58.281139 #7040]  INFO -- default-windows-2012r2: -----> Creating <default-windows-2012r2>...
E, [2018-04-02T17:46:01.307681 #7040] ERROR -- default-windows-2012r2: Create failed on instance <default-windows-2012r2>.
E, [2018-04-02T17:46:01.307852 #7040] ERROR -- default-windows-2012r2: ------Exception-------
E, [2018-04-02T17:46:01.307922 #7040] ERROR -- default-windows-2012r2: Class: Aws::Errors::MissingCredentialsError
E, [2018-04-02T17:46:01.307971 #7040] ERROR -- default-windows-2012r2: Message: unable to sign request without credentials set
E, [2018-04-02T17:46:01.308015 #7040] ERROR -- default-windows-2012r2: ----------------------
E, [2018-04-02T17:46:01.308059 #7040] ERROR -- default-windows-2012r2: ------Backtrace-------
E, [2018-04-02T17:46:01.308102 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/request_signer.rb:104:in `require_credentials'
E, [2018-04-02T17:46:01.308146 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/request_signer.rb:94:in `sign_authenticated_requests'
E, [2018-04-02T17:46:01.308196 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/request_signer.rb:87:in `call'
E, [2018-04-02T17:46:01.308240 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/helpful_socket_errors.rb:10:in `call'
E, [2018-04-02T17:46:01.308284 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/retry_errors.rb:89:in `call'
E, [2018-04-02T17:46:01.308328 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/query/handler.rb:27:in `call'
E, [2018-04-02T17:46:01.308372 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/user_agent.rb:12:in `call'
E, [2018-04-02T17:46:01.308436 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/plugins/endpoint.rb:41:in `call'
E, [2018-04-02T17:46:01.308483 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/param_validator.rb:21:in `call'
E, [2018-04-02T17:46:01.308527 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/plugins/raise_response_errors.rb:14:in `call'
E, [2018-04-02T17:46:01.308571 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/jsonvalue_converter.rb:20:in `call'
E, [2018-04-02T17:46:01.308618 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/idempotency_token.rb:18:in `call'
E, [2018-04-02T17:46:01.308663 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/param_converter.rb:20:in `call'
E, [2018-04-02T17:46:01.308707 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/aws-sdk-core/plugins/response_paging.rb:26:in `call'
E, [2018-04-02T17:46:01.308751 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/plugins/response_target.rb:21:in `call'
E, [2018-04-02T17:46:01.308794 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/request.rb:70:in `send_request'
E, [2018-04-02T17:46:01.308838 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-core-2.11.9/lib/seahorse/client/base.rb:207:in `block (2 levels) in define_operation_methods'
E, [2018-04-02T17:46:01.308903 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/request.rb:24:in `call'
E, [2018-04-02T17:46:01.308956 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/operations.rb:41:in `call'
E, [2018-04-02T17:46:01.309001 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/operations.rb:61:in `call'
E, [2018-04-02T17:46:01.309045 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/resource.rb:147:in `load'
E, [2018-04-02T17:46:01.309094 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/resource.rb:120:in `data'
E, [2018-04-02T17:46:01.309138 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/aws-sdk-resources-2.11.9/lib/aws-sdk-resources/resource.rb:223:in `block in add_data_attribute'
E, [2018-04-02T17:46:01.309182 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:687:in `show_chosen_image'
E, [2018-04-02T17:46:01.309226 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:328:in `image'
E, [2018-04-02T17:46:01.309270 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:354:in `actual_platform'
E, [2018-04-02T17:46:01.309313 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:384:in `update_username'
E, [2018-04-02T17:46:01.309357 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/kitchen-ec2-2.2.1/lib/kitchen/driver/ec2.rb:204:in `create'
E, [2018-04-02T17:46:01.309418 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:469:in `public_send'
E, [2018-04-02T17:46:01.309466 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:469:in `block in perform_action'
E, [2018-04-02T17:46:01.309514 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:536:in `synchronize_or_call'
E, [2018-04-02T17:46:01.309560 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:498:in `block in action'
E, [2018-04-02T17:46:01.309604 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-04-02T17:46:01.309649 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:497:in `action'
E, [2018-04-02T17:46:01.309693 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:469:in `perform_action'
E, [2018-04-02T17:46:01.309737 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:379:in `create_action'
E, [2018-04-02T17:46:01.309782 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:368:in `block in transition_to'
E, [2018-04-02T17:46:01.309826 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:367:in `each'
E, [2018-04-02T17:46:01.309870 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:367:in `transition_to'
E, [2018-04-02T17:46:01.309932 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/instance.rb:124:in `create'
E, [2018-04-02T17:46:01.309988 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:197:in `public_send'
E, [2018-04-02T17:46:01.310034 #7040] ERROR -- default-windows-2012r2: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:197:in `run_action_in_thread'
